In Buffer 1500,Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
,infoflora:9300,Gefässpflanzen,Kriechendes Straussgras,Agrostis stolonifera L.,www.infoflora.ch/flora/1001130,Dinhard,ZH,,"424","2700795","1268593","50",A,,,"2011","6","13",,"Info Flora, Kim Lotterman",Lotterman Kim,"4177624",LC,K,,,,,,,,LC,,,,,Poaceae,,INN,,
x,infoflora:9300,Gefässpflanzen,Kriechendes Straussgras,Agrostis stolonifera L.,www.infoflora.ch/flora/1001130,Indéterminé (ZH),ZH,,398-418,"2703500","1268500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3958871",LC,K,,,,,,,,LC,,,,,Poaceae,,INN,,
,infoflora:9300,Gefässpflanzen,Kriechendes Straussgras,Agrostis stolonifera L.,www.infoflora.ch/flora/1001130,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354458",LC,K,,,,,,,,LC,,,,,Poaceae,,INN,,
,infoflora:9500,Gefässpflanzen,Götterbaum,Ailanthus altissima (Mill.) Swingle,www.infoflora.ch/flora/1001150,Rickenbach (ZH),ZH,,414-418,"2702363","1267712","25",A,,,"2004","1","1",,Kanton Zürich (AWEL SBS),Spychiger Urs,"4728888",,,,,,,,,,,,,,,Simaroubaceae,,NLS,"1",
,infoflora:9500,Gefässpflanzen,Götterbaum,Ailanthus altissima (Mill.) Swingle,www.infoflora.ch/flora/1001150,Rickenbach (ZH),ZH,,414-416,"2702373","1267722","7",A,,,"2006","10","23",,Kanton Zürich (AWEL SBS),Spychiger Urs,"3399856",,,,,,,,,,,TypoCH 2 : Ufer und Feuchtgebiete,,,,Simaroubaceae,,NLS,"1",
,infoflora:9500,Gefässpflanzen,Götterbaum,Ailanthus altissima (Mill.) Swingle,www.infoflora.ch/flora/1001150,Rickenbach (ZH),ZH,,414-416,"2702374","1267722","5",A,1–10 (Individuen),,"2006","10","23",,Kanton Zürich (AWEL SBS),GIS-ZH AWEL NEO,"8543013",,,,,,,,,,,,,,,Simaroubaceae,,NLS,"1",
x,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Rickenbach (ZH),ZH,702000/269000,"455","2702000","1269000","50",A,,,"1994","5","17",,Kanton Zürich,?,"3168944",LC,K,,,,,,,,LC,,,,,Lamiaceae,,INN,,
x,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Indéterminé (ZH),ZH,,398-418,"2703500","1268500","707",A,,,"2016",,,,Flora des Kantons Zürich,Baumann Sophie,"3958872",LC,K,,,,,,,,LC,,,,,Lamiaceae,,INN,,
x,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Altikon,ZH,Bachufer,379-380,"2702515","1269978","10",A,,,"2017","6","14",,"Info Flora, Jasmin Ducry",Ducry Jasmin,"8511188",LC,K,,,,,,,,LC,,,,,Lamiaceae,,INN,,
,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354459",LC,K,,,,,,,,LC,,,,,Lamiaceae,,INN,,
x,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Altikon,ZH,Bachufer,379-379,"2701696","1270211","10",A,,,"2017","6","9",,"Info Flora, Jasmin Ducry",Ducry Jasmin,"8511119",LC,K,,,,,,,,LC,,,,,Lamiaceae,,INN,,
x,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Altikon,ZH,Bachufer,"379","2701738","1270212","10",A,,,"2017","6","9",,"Info Flora, Jasmin Ducry",Ducry Jasmin,"8511146",LC,K,,,,,,,,LC,,,,,Lamiaceae,,INN,,
x,infoflora:21900,Gefässpflanzen,Gemeiner Froschlöffel,Alisma plantago-aquatica L.,www.infoflora.ch/flora/1002510,Uesslingen-Buch,TG,"Uesslingen-Buch. Uesslingen, Mittelwiide, Weidacker. Kiesgrube","376","2703100","1269950","50",A,,,"1991","9","29",,Naturmuseum Thurgau,Grädel,"6496498",LC,K,,,,,,,,LC,,,,,Alismataceae,,INN,,
,infoflora:21900,Gefässpflanzen,Gemeiner Froschlöffel,Alisma plantago-aquatica L.,www.infoflora.ch/flora/1002510,Altikon,ZH,"Altikon / Höh-Wald, 5180101",375-377,"2701793","1271331","100",A,,,"2009","8","18",,Kanton Zürich,Bertiller René,"8717521",LC,K,,,,,,,,LC,,,,,Alismataceae,,INN,,
,infoflora:21900,Gefässpflanzen,Gemeiner Froschlöffel,Alisma plantago-aquatica L.,www.infoflora.ch/flora/1002510,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354460",LC,K,,,,,,,,LC,,,,,Alismataceae,,INN,,
x,infoflora:22100,Gefässpflanzen,Knoblauchhederich,Alliaria petiolata (M. Bieb.) Cavara & Grande,www.infoflora.ch/flora/1002520,Indéterminé (ZH),ZH,,398-418,"2703500","1268500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3958873",LC,K,,,,,,,,LC,,,,,Brassicaceae,,INN,,
x,infoflora:22100,Gefässpflanzen,Knoblauchhederich,Alliaria petiolata (M. Bieb.) Cavara & Grande,www.infoflora.ch/flora/1002520,Altikon,ZH,Bachufer,379-379,"2701696","1270211","10",A,,,"2017","6","9",,"Info Flora, Jasmin Ducry",Ducry Jasmin,"8511105",LC,K,,,,,,,,LC,,,,,Brassicaceae,,INN,,
,infoflora:22100,Gefässpflanzen,Knoblauchhederich,Alliaria petiolata (M. Bieb.) Cavara & Grande,www.infoflora.ch/flora/1002520,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354461",LC,K,,,,,,,,LC,,,,,Brassicaceae,,INN,,
,infoflora:24800,Gefässpflanzen,Bärlauch,Allium ursinum L.,www.infoflora.ch/flora/1002790,Uesslingen-Buch,TG,Uesslingen-Buch. Uesslingen. Wegrand,"400","2705000","1270000","1000",A,,,"1991","6","30",,Naturmuseum Thurgau,Grädel,"6490026",LC,K,,,,,,,,LC,,,,,Amaryllidaceae,,INN,,
x,infoflora:24800,Gefässpflanzen,Bärlauch,Allium ursinum L.,www.infoflora.ch/flora/1002790,Indéterminé (ZH),ZH,,398-418,"2703500","1268500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3958874",LC,K,,,,,,,,LC,,,,,Amaryllidaceae,,INN,,
,infoflora:24800,Gefässpflanzen,Bärlauch,Allium ursinum L.,www.infoflora.ch/flora/1002790,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354462",LC,K,,,,,,,,LC,,,,,Amaryllidaceae,,INN,,
,infoflora:24800,Gefässpflanzen,Bärlauch,Allium ursinum L.,www.infoflora.ch/flora/1002790,Ellikon an der Thur,ZH,,404-405,"2703296","1268199","3",A,,,"2021","3","18",,"Info Flora, Silvan Minnig",Minnig Silvan,"10079462",LC,K,,,,,,,,LC,,,,,Amaryllidaceae,,INN,,
x,infoflora:25000,Gefässpflanzen,Weinberg-Lauch,Allium vineale L.,www.infoflora.ch/flora/1002810,Indéterminé (ZH),ZH,,398-418,"2703500","1268500","707",A,,,"2016",,,,Flora des Kantons Zürich,Baumann Sophie,"5540334",LC,K,L,,,,,,,LC,,,,,Amaryllidaceae,,INN,,
x,infoflora:25200,Gefässpflanzen,Schwarz-Erle,Alnus glutinosa (L.) Gaertn.,www.infoflora.ch/flora/1002840,Altikon,ZH,"Uesslingen-Buch. Thur S, östlich Uesslingerbrücke. Aue","380","2703000","1270000","1000",A,,,"1991","10","16",,Naturmuseum Thurgau,Grädel,"6480099",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
