In Buffer 1500,Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
,infoflora:9300,Gefässpflanzen,Kriechendes Straussgras,Agrostis stolonifera L.,www.infoflora.ch/flora/1001130,Indéterminé (ZH),ZH,,372-381,"2700500","1271500","707",A,,,"2015",,,,Flora des Kantons Zürich,Bernowitz Karin,"4572529",LC,K,,,,,,,,LC,,,,,Poaceae,,INN,,
,infoflora:9300,Gefässpflanzen,Kriechendes Straussgras,Agrostis stolonifera L.,www.infoflora.ch/flora/1001130,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354458",LC,K,,,,,,,,LC,,,,,Poaceae,,INN,,
,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Stammheim,ZH,702400/274050,"480","2702400","1274050","50",A,,,"1982","6","8",,Kanton Zürich,?,"3169120",LC,K,,,,,,,,LC,,,,,Lamiaceae,,INN,,
,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Stammheim,ZH,699700/275025,"463","2699700","1275025","50",A,,,"1982","6","8",,Kanton Zürich,?,"3169008",LC,K,,,,,,,,LC,,,,,Lamiaceae,,INN,,
x,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Neunforn,TG,,,"2701500","1274500","707",B,,,"2003","4","22",,BAFU / OFEV / UFAM,Valencak Martin,"1072211",LC,K,,,,,,,,LC,TypoCH 4.5.1 : Talfettwiesen (Fromentalwiese),,,,Lamiaceae,,INN,,
,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Indéterminé (ZH),ZH,,372-381,"2700500","1271500","707",A,,,"2013",,,,Flora des Kantons Zürich,Bernowitz Karin,"3434030",LC,K,,,,,,,,LC,,,,,Lamiaceae,,INN,,
x,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3956657",LC,K,,,,,,,,LC,,,,,Lamiaceae,,INN,,
,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354459",LC,K,,,,,,,,LC,,,,,Lamiaceae,,INN,,
,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Neunforn,TG,,378-378,"2701285","1271776","6",A,,,"2022","4","29",,Blan B Götsch,Götsch Martin Ernst,"11785870",LC,K,,,,,,,,LC,,,,,Lamiaceae,,INN,,
x,infoflora:21100,Gefässpflanzen,Gemeiner Frauenmantel,Alchemilla vulgaris aggr.,www.infoflora.ch/flora/1002440,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3956885",LC,K,,,,,,,,NE,,,,,Rosaceae,,INN,,
,infoflora:21100,Gefässpflanzen,Gemeiner Frauenmantel,Alchemilla vulgaris aggr.,www.infoflora.ch/flora/1002440,Indéterminé (ZH),ZH,,372-381,"2700500","1271500","707",A,,,"2015",,,,Flora des Kantons Zürich,Bernowitz Karin,"4572530",LC,K,,,,,,,,NE,,,,,Rosaceae,,INN,,
