Taxon,Koordx,Koordy,Jahr,Ordnung,Familie,
Plantago lanceolata L.,2584692,1197087,2005,,Plantaginaceae,
Plantago lanceolata L.,2584476,1197625,2018,,Plantaginaceae,
Plantago lanceolata L.,2584476,1197625,2018,,Plantaginaceae,
Plantago lanceolata L.,2584476,1197625,2018,,Plantaginaceae,
Plantago lanceolata L.,2584476,1197625,2018,,Plantaginaceae,
Plantago lanceolata L.,2584476,1197625,2018,,Plantaginaceae,
Plantago lanceolata L.,2583994,1197789,2021,,Plantaginaceae,
Plantago major L.,2584820,1197270,1996,,Plantaginaceae,
Poa trivialis L.,2584820,1197270,1996,,Poaceae,
Poa trivialis L.,2584850,1197010,1996,,Poaceae,
Poa trivialis L.,2584476,1197625,2018,,Poaceae,
Poa trivialis L.,2584476,1197625,2018,,Poaceae,
Poa trivialis L.,2584476,1197625,2018,,Poaceae,
Poa trivialis L.,2584476,1197625,2018,,Poaceae,
Poa trivialis L.,2584476,1197625,2018,,Poaceae,
Potentilla reptans L.,2584476,1197625,2018,,Rosaceae,
Potentilla reptans L.,2583500,1197500,2020,,Rosaceae,
Potentilla reptans L.,2583548,1197416,2021,,Rosaceae,
Prunella vulgaris L.,2584476,1197625,2018,,Lamiaceae,
Prunella vulgaris L.,2584476,1197625,2018,,Lamiaceae,
Prunus spinosa L.,2583500,1197500,2020,,Rosaceae,
Prunus spinosa L.,2584068,1197824,2021,,Rosaceae,
Pseudotsuga menziesii (Mirb.) Franco,2584087,1197857,2021,,Pinaceae,
Pulmonaria obscura Dumort.,2584850,1197010,1996,,Boraginaceae,
Pulmonaria obscura Dumort.,2584850,1197010,1996,,Boraginaceae,
Pulmonaria obscura Dumort.,2583500,1197500,2020,,Boraginaceae,
Ranunculus acris L.,2584692,1197087,2005,,Ranunculaceae,
Ranunculus acris L.,2584476,1197625,2018,,Ranunculaceae,
Ranunculus acris L.,2584476,1197625,2018,,Ranunculaceae,
Ranunculus acris L.,2584476,1197625,2018,,Ranunculaceae,
Ranunculus acris L.,2584476,1197625,2018,,Ranunculaceae,
Ranunculus acris L.,2584476,1197625,2018,,Ranunculaceae,
Ranunculus auricomus aggr.,2584850,1197010,1996,,Ranunculaceae,
Ranunculus bulbosus L.,2584692,1197087,2005,,Ranunculaceae,
Ranunculus ficaria L.,2584850,1197010,1996,,Ranunculaceae,
Ranunculus repens L.,2584820,1197270,1996,,Ranunculaceae,
Ranunculus repens L.,2584476,1197625,2018,,Ranunculaceae,
Ranunculus repens L.,2584476,1197625,2018,,Ranunculaceae,
Ranunculus repens L.,2584476,1197625,2018,,Ranunculaceae,
Ranunculus repens L.,2583994,1197939,2021,,Ranunculaceae,
Ribes rubrum L.,2584850,1197010,1996,,Grossulariaceae,
Rubus armeniacus Focke,2583498,1197388,2021,,Rosaceae,
Rubus caesius L.,2584820,1197270,1996,,Rosaceae,
Rumex acetosa L.,2584476,1197625,2018,,Polygonaceae,
Rumex acetosa L.,2584476,1197625,2018,,Polygonaceae,
Rumex acetosa L.,2584476,1197625,2018,,Polygonaceae,
Rumex acetosa L.,2583999,1197951,2021,,Polygonaceae,
Rumex obtusifolius L.,2584820,1197270,1996,,Polygonaceae,
Rumex obtusifolius L.,2584476,1197625,2018,,Polygonaceae,
Sagittaria latifolia Willd.,2584637,1197430,2018,,Alismataceae,
Salix purpurea L.,2584820,1197270,1996,,Salicaceae,
Salix triandra L.,2584820,1197270,1996,,Salicaceae,
Salix viminalis L.,2584820,1197270,1996,,Salicaceae,
Salvia pratensis L.,2584476,1197625,2018,,Lamiaceae,
Salvia pratensis L.,2584476,1197625,2018,,Lamiaceae,
Salvia pratensis L.,2584476,1197625,2018,,Lamiaceae,
Sambucus nigra L.,2584850,1197010,1996,,Adoxaceae,
Saponaria officinalis L.,2584138,1197067,2021,,Caryophyllaceae,
Silene flos-cuculi (L.) Clairv.,2584476,1197625,2018,,Caryophyllaceae,
