City,Family,Genus,Sp2,Sp.merge,native_exotic,pollination_mode,Flowering_months_duration,start_flowering,growth_form_category,plant_height_m,inflorescence,structural_blossom_class,symmetry,nectar,pollen,oil
Zu,Liliaceae,Lilium,candidum,Lilium candidum,E,biotic,2,6,herb,1.2,1,dish_bowl,actinomorph,1,1,0
Zu,Liliaceae,Lilium,martagon,Lilium martagon,N,biotic,2,6,herb,2,1,dish_bowl,actinomorph,1,1,0
Pa,Liliaceae,Lilium,regale,Lilium regale,E,biotic,2,6,herb,0.57,1,dish_bowl,actinomorph,1,1,0
Zu,Liliaceae,Lilium,sp.,Lilium sp.,NA,biotic,NA,NA,herb,NA,NA,dish_bowl,actinomorph,1,1,0
Pa,Plumbaginaceae,Limonium,platyphyllum,Limonium platyphyllum,NA,biotic,3,7,herb,0.8,1,stalk_disk,actinomorph,1,1,0
Pa,Plumbaginaceae,Limonium,sinuatum,Limonium sinuatum,E,biotic,3,7,herb,0.4,1,stalk_disk,actinomorph,1,1,0
An,Plantaginaceae,Linaria,incarnata,Linaria incarnata,N,biotic,3,7,herb,,1,gullet,sigomorph,1,1,0
Zu,Plantaginaceae,Linaria,maroccana,Linaria maroccana,E,biotic,4,6,herb,0.55,1,gullet,sigomorph,1,1,0
Zu,Plantaginaceae,Linaria,purpurea,Linaria purpurea,N,biotic,5,6,herb,0.6,1,gullet,sigomorph,1,1,0
Pa,Plantaginaceae,Linaria,repens,Linaria repens,N,biotic,2,7,herb,0.53,1,gullet,sigomorph,1,1,0
Zu,Plantaginaceae,Linaria,vulgaris,Linaria vulgaris,N,biotic,4,6,herb,1.2,1,gullet,sigomorph,1,1,0
Pa,Boraginaceae,Lindelofia,longiflora,Lindelofia longiflora,E,biotic,2,5,herb,0.4,1,gullet,sigomorph,,,
Pa,Boraginaceae,Lindernia,grandiflora,Lindernia grandiflora,E,biotic,2,6,herb,0.05,1,gullet,sigomorph,,,
Zu,Linaceae,Linum,bienne,Linum bienne,N,biotic,2,6,herb,0.6,1,dish_bowl,actinomorph,1,1,0
Zu,Linaceae,Linum,dolomiticum,Linum dolomiticum,N,biotic,2,6,herb,0.13,1,dish_bowl,actinomorph,1,1,0
Zu,Linaceae,Linum,flavum,Linum flavum,N,biotic,2,6,herb,0.4,1,dish_bowl,actinomorph,1,1,0
Zu,Linaceae,Linum,grandiflorum,Linum grandiflorum,E,biotic,5,6,herb,0.4,1,dish_bowl,actinomorph,1,1,0
