ID,location,landscape,replicate,bbspecies,bborgan,site,Shannon,NrSpecies,Flowering_duration_cwm,Flowering_start_cwm,growth_form_cwm,structural_blossom_cwm,sugar_concentration_cwm,plant_height_cwm
13_BERD_pB,BE,R,D,B.lapidarius,B,BE_R,0.14990100654542435,2,5.896636267389811,5,1,1,45.143218333365404,0.9793272534779621
13_BEUA_pB,BE,U,A,B.lapidarius,B,BE_U,0.8124266703254298,4,4.18822247081433,5.143275105412615,1,4.945214123856237,101.51221219729135,1.3383242979663255
13_BEUA_pL,BE,U,A,B.lapidarius,L,BE_U,0.9693961323173701,3,5.1302282504780115,5.157594407265775,1,2.701646152007649,35.826204319546726,1.091367411567878
13_BEUB_lB,BE,U,B,B.pascuorum,B,BE_U,0.8654970436964234,5,3.5892116718550207,5.166707570688609,1,1.1213041063332343,31.114875422442974,0.5865107147009058
13_BEUB_pB,BE,U,B,B.lapidarius,B,BE_U,0,1,6,5,1,1,45.81712329,1
13_BEUC_lB,BE,U,C,B.pascuorum,B,BE_U,0.45938300722943026,4,5.03097215773272,4.941030800185729,1,1.0393127998761802,53.313144282561524,0.21437771930729677
13_BEUC_lL,BE,U,C,B.pascuorum,L,BE_U,0.10899574954747962,2,5.022866815418943,5,1,1,44.61561756880726,0.1694367931061014
13_BEUC_pB,BE,U,C,B.lapidarius,B,BE_U,0.24020081374105237,2,5.870231177362304,4.999999999999999,1,1.1297688226376956,46.826046258488184,0.9870231177362304
13_BEUC_pL,BE,U,C,B.lapidarius,L,BE_U,0.45011049871466435,3,5.6043439073182535,5.000000000000001,1.1031458154718723,1.344083184945811,45.932923543128894,1.0377937523357297
13_BSRD_lB,BS,R,D,B.pascuorum,B,BS_R,0,1,6,5,1,1,45.81712329,1
13_BSRD_lL,BS,R,D,B.pascuorum,L,BS_R,0,1,6,5,1,1,45.81712329,1
13_BSRD_pB,BS,R,D,B.lapidarius,B,BS_R,0.5678963945306038,4,5.4770439764633005,5.005148652833695,1.032350056777124,1.0834494683596574,43.8293227875487,0.9311337359347578
13_BSRD_pL,BS,R,D,B.lapidarius,L,BS_R,0.9809004584009121,5,4.064988186275754,4.550722796676913,1.4409948934224235,1.901298239374,46.9540853727278,1.0762277381164096
13_BSRE_lB,BS,R,E,B.pascuorum,B,BS_R,0.8711186496377132,3,4.182915517673603,5.065943845575333,1,1.0659438455753323,34.872906948234274,0.6299887189771873
13_BSRE_pB,BS,R,E,B.lapidarius,B,BS_R,0.15349751658376107,3,5.932389697477711,5,1,1,45.43376584076107,0.9794197211003581
13_BSRF_lB,BS,R,F,B.pascuorum,B,BS_R,0.8990390003376608,7,3.1716382097393416,5.78131945847646,1,1.0938068296625583,31.125252923300426,1.016247600525359
13_BSRF_pB,BS,R,F,B.lapidarius,B,BS_R,0.5032408494243577,3,5.546790201193367,5.022997811160086,1,1.0229978111600853,43.17712965042727,0.9070582591226649
13_BSUA_lB,BS,U,A,B.pascuorum,B,BS_U,1.4108856834714631,5,4.789573400512169,5.272136745018842,1,1.5413170660615017,42.121560663967436,0.4941308738106642
13_BSUA_pB,BS,U,A,B.lapidarius,B,BS_U,0.06288143557266908,2,5.999999999999999,5,1,1.9884785261812052,45.81712329,1
