plant species;plant family;plant genus;additional information;community studied;literature source 1;link 1;literature source 2;link 2;literature source 3;link 3;reference;class;subclass;order;alliance;suballiance;community;continent/region;country;location name;decimal longitude;absolute latitude;decimal latitude;altitude [meters above sea level];year of the  data collection;mean yearly air temperature in degrees Celsius;January - mean monthly temp. [degrees Celsius];February - mean monthly temp. [degrees Celsius];March - mean monthly temp. [degrees Celsius];April - mean monthly temp. [degrees Celsius];May - mean monthly temp. [degrees Celsius];June - mean monthly temp. [degrees Celsius];July - mean monthly temp. [degrees Celsius];August - mean monthly temp. [degrees Celsius];September - mean monthly temp. [degrees Celsius];October - mean monthly temp. [degrees Celsius];November - mean monthly temp. [degrees Celsius];December - mean monthly temp. [degrees Celsius];total yearly  pecipitation in mm;January - total precipitation;February - total precipitation;March - total precipitation;April - total precipitation;May - total precipitation;June - total precipitation;July - total precipitation;August - total precipitation;September - total precipitation;October - total precipitation;November - total precipitation;December - total precipitation;flowering start;flowering end;flowering peak;flowering peak 2 (if occured);flowering lenght;total number of plants per m^2;total number of trees examined;total number of flowers per m^2;total number of inflorescenses per m^2;total number of flowers per m^2 of crown surface;total number of inflorescenses per m^2 of crown surface;total number of flowers per a single tree;total number of flowers per plant;total number of inflorescenses per a single tree;total number of inflorescenses per plant;tree age;mean number of flowering flowers per m^2 per day;peak number of flowering flowers per m^2;flower longevity [days];total nectar in µg per flower;total nectar in µL per flower;nectar in µg/flower/day ;nectar in µL/flower/day ;nectar in µg/inflorescence/day ;sugar concentration % in nectar;total sugar in µg per flower;sugar in µg/flower/day;total sugar in mg per inflorescence;sugar in µg/inflorescence/day;sugar yield in kg/ha per 1 year;sugar yield in g per tree per 1 year;sugar yield in g per 1 m^3 of the tree crown;honey yield in kg/ha per 1 year;honey yield from 1 flower in mg per 1 year;honey yield in g per 1 m^3 of the tree crown;honey yield in kg/tree per 1 year;total pollen yield per 1 year in kg/ha;total pollen yield per 1 year in kg per a single tree;total pollen yield per 1 year in number of grains per a single tree;total pollen in µg/flower;total pollen in µL/flower;total pollen per flower (the number of grains);total pollen in µg/inflorescence;total pollen in µL/inflorescence;total pollen in µg/plant/year;total pollen in number of grains per inflorescence;pollen in µg/flower/day ;pollen in µL/flower/day ;pollen in µL/inflorescence/day ;yearly pollen yield in number of grains per m^2 of the  crown;yearly pollen yield in g per 1 m^3 of the tree crown
Malus domestica;Rosaceae;Malus;variety 'Jonagold';field experiment;Szklanowska 1987;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-d588371a-5d5b-4d33-9a2c-fda82f625b13?q=bwmeta1.element.agro-6935abe0-718d-4953-89b1-3e9a726d43c5;2&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1987. Pszczelarska wartoœæ jab³oni ozdobnych stosowanych jako zapylacze w sadach [The apicultural value of ornamental apple tress applied as pollinators in production orchards]. Pszczelarskie Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 189-206.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;1984;;;;;;;;;;;;;;;;;;;;;;;;;;;135;141;;;7.0;;;;;;;1956;;;;;;;;;;;;;38.60;2910.00;;;;;6.36;;;;;;;0.0026;;1200.0;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Jonagold';field experiment;Szklanowska 1987;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-d588371a-5d5b-4d33-9a2c-fda82f625b13?q=bwmeta1.element.agro-6935abe0-718d-4953-89b1-3e9a726d43c5;2&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1987. Pszczelarska wartoœæ jab³oni ozdobnych stosowanych jako zapylacze w sadach [The apicultural value of ornamental apple tress applied as pollinators in production orchards]. Pszczelarskie Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 189-206.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;135;141;;;7.0;;;;;;;2916;;;;;;;;;;;;;38.60;2910.00;;;;;6.36;;;;;;;0.0026;;1200.0;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Hopa';field experiment;Szklanowska 1987;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-d588371a-5d5b-4d33-9a2c-fda82f625b13?q=bwmeta1.element.agro-6935abe0-718d-4953-89b1-3e9a726d43c5;2&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1987. Pszczelarska wartoœæ jab³oni ozdobnych stosowanych jako zapylacze w sadach [The apicultural value of ornamental apple tress applied as pollinators in production orchards]. Pszczelarskie Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 189-206.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;1986;;;;;;;;;;;;;;;;;;;;;;;;;;;122;129;;;8.0;;;;;;;1004;;;;;;;;;;;;;50.20;1070.00;;;;;3.95;;;;;;;0.0047;;1260.0;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Hopa';field experiment;Szklanowska 1987;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-d588371a-5d5b-4d33-9a2c-fda82f625b13?q=bwmeta1.element.agro-6935abe0-718d-4953-89b1-3e9a726d43c5;2&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1987. Pszczelarska wartoœæ jab³oni ozdobnych stosowanych jako zapylacze w sadach [The apicultural value of ornamental apple tress applied as pollinators in production orchards]. Pszczelarskie Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 189-206.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;132;138;;;7.0;;;;;;;2613;;;;;;;;;;;;;50.20;1070.00;;;;;3.95;;;;;;;0.0047;;1260.0;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Hopa';field experiment;Szklanowska 1987;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-d588371a-5d5b-4d33-9a2c-fda82f625b13?q=bwmeta1.element.agro-6935abe0-718d-4953-89b1-3e9a726d43c5;2&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1987. Pszczelarska wartoœæ jab³oni ozdobnych stosowanych jako zapylacze w sadach [The apicultural value of ornamental apple tress applied as pollinators in production orchards]. Pszczelarskie Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 189-206.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;1984;;;;;;;;;;;;;;;;;;;;;;;;;;;127;137;;;11.0;;;;;;;7447;;;;;;;;;;;;;50.20;1070.00;;;;;3.95;;;;;;;0.0047;;1260.0;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Hillieri';field experiment;Szklanowska 1987;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-d588371a-5d5b-4d33-9a2c-fda82f625b13?q=bwmeta1.element.agro-6935abe0-718d-4953-89b1-3e9a726d43c5;2&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1987. Pszczelarska wartoœæ jab³oni ozdobnych stosowanych jako zapylacze w sadach [The apicultural value of ornamental apple tress applied as pollinators in production orchards]. Pszczelarskie Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 189-206.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;1986;;;;;;;;;;;;;;;;;;;;;;;;;;;126;132;;;7.0;;;;;;;2676;;;;;;;;;;;;;40.20;530.00;;;;;2.23;;;;;;;0.0055;;1300.0;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Hillieri';field experiment;Szklanowska 1987;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-d588371a-5d5b-4d33-9a2c-fda82f625b13?q=bwmeta1.element.agro-6935abe0-718d-4953-89b1-3e9a726d43c5;2&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1987. Pszczelarska wartoœæ jab³oni ozdobnych stosowanych jako zapylacze w sadach [The apicultural value of ornamental apple tress applied as pollinators in production orchards]. Pszczelarskie Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 189-206.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;134;140;;;7.0;;;;;;;3270;;;;;;;;;;;;;40.20;530.00;;;;;2.23;;;;;;;0.0055;;1300.0;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Hillieri';field experiment;Szklanowska 1987;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-d588371a-5d5b-4d33-9a2c-fda82f625b13?q=bwmeta1.element.agro-6935abe0-718d-4953-89b1-3e9a726d43c5;2&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1987. Pszczelarska wartoœæ jab³oni ozdobnych stosowanych jako zapylacze w sadach [The apicultural value of ornamental apple tress applied as pollinators in production orchards]. Pszczelarskie Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 189-206.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;1984;;;;;;;;;;;;;;;;;;;;;;;;;;;135;139;;;5.0;;;;;;;6720;;;;;;;;;;;;;40.20;530.00;;;;;2.23;;;;;;;0.0055;;1300.0;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Empire';field experiment;Szklanowska 1987;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-d588371a-5d5b-4d33-9a2c-fda82f625b13?q=bwmeta1.element.agro-6935abe0-718d-4953-89b1-3e9a726d43c5;2&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1987. Pszczelarska wartoœæ jab³oni ozdobnych stosowanych jako zapylacze w sadach [The apicultural value of ornamental apple tress applied as pollinators in production orchards]. Pszczelarskie Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 189-206.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;132;138;;;7.0;;;;;;;1823;;;;;;;;;;;;;46.10;2280.00;;;;;7.20;;;;;;;0.0046;;1460.0;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Empire';field experiment;Szklanowska 1987;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-d588371a-5d5b-4d33-9a2c-fda82f625b13?q=bwmeta1.element.agro-6935abe0-718d-4953-89b1-3e9a726d43c5;2&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1987. Pszczelarska wartoœæ jab³oni ozdobnych stosowanych jako zapylacze w sadach [The apicultural value of ornamental apple tress applied as pollinators in production orchards]. Pszczelarskie Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 189-206.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;1984;;;;;;;;;;;;;;;;;;;;;;;;;;;126;136;;;11.0;;;;;;;3400;;;;;;;;;;;;;46.10;2280.00;;;;;7.20;;;;;;;0.0046;;1460.0;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Empire';field experiment;Szklanowska 1987;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-d588371a-5d5b-4d33-9a2c-fda82f625b13?q=bwmeta1.element.agro-6935abe0-718d-4953-89b1-3e9a726d43c5;2&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1987. Pszczelarska wartoœæ jab³oni ozdobnych stosowanych jako zapylacze w sadach [The apicultural value of ornamental apple tress applied as pollinators in production orchards]. Pszczelarskie Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 189-206.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;1986;;;;;;;;;;;;;;;;;;;;;;;;;;;121;130;;;10.0;;;;;;;4231;;;;;;;;;;;;;46.10;2280.00;;;;;7.20;;;;;;;0.0046;;1460.0;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Szafer';urban green area;Szklanowska 1992;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-e057bcdf-b2ad-4fd4-be9a-47c51d6d5fc7?q=bwmeta1.element.agro-volume-ce165fa2-7485-46a6-b0eb-c19f8094aa05;8&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1992. Wydajnoœæ py³kowa niektórych ozdobnych drzew i krzewów z rodziny ró¿owatych (Rosaceae). Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 36, pp. 65-73.;;;;;;;Europe;Poland;Lublin;22.27;51.09;51.09;;1988-1990;;;;;;;;;;;;;;;;;;;;;;;;;;;115;140;;;26.0;;;;;1850;;;;;;;;;;;;;;;;;;;;;;;;;;;3.60;;;650.0;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Hopa';urban green area;Szklanowska 1992;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-e057bcdf-b2ad-4fd4-be9a-47c51d6d5fc7?q=bwmeta1.element.agro-volume-ce165fa2-7485-46a6-b0eb-c19f8094aa05;8&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1992. Wydajnoœæ py³kowa niektórych ozdobnych drzew i krzewów z rodziny ró¿owatych (Rosaceae). Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 36, pp. 65-73.;;;;;;;Europe;Poland;Lublin;22.27;51.09;51.09;;1988-1990;;;;;;;;;;;;;;;;;;;;;;;;;;;115;140;;;;;;;;850;;;;;;;;;;;;;;;;;;;;;;;;;;;1.90;;;1070.0;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Golden Delicious';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;135;145;;;11.0;0.22;4;61;;;;;;;;;;;;;;;;;27.70;2800.00;;;;;;;2.1;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Stark Earlest';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;129;145;;;17.0;0.13;4;90;;;;;;;;;;;;;;;;;25.70;2610.00;;;;;;;2.9;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Jonatan';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;122;133;;;12.0;0.06;4;131;;;;;;;;;;;;;;;;;27.50;2340.00;;;;;;;3.8;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Bankroft';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;122;133;;;12.0;0.24;4;245;;;;;;;;;;;;;;;;;27.00;1630.00;;;;;;;5.0;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'McIntosh';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;132;142;;;11.0;0.13;4;141;;;;;;;;;;;;;;;;;25.80;2960.00;;;;;;;5.0;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Starkrimson';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;122;129;;;8.0;0.22;4;173;;;;;;;;;;;;;;;;;30.90;2420.00;;;;;;;5.2;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Stark Earlest';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;120;132;;;13.0;0.13;4;133;;;;;;;;;;;;;;;;;39.30;3230.00;;;;;;;5.5;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Golden Delicious';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;122;133;;;12.0;0.22;4;159;;;;;;;;;;;;;;;;;29.10;2760.00;;;;;;;5.5;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Spartan';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;132;146;;;15.0;0.18;4;151;;;;;;;;;;;;;;;;;23.20;3200.00;;;;;;;6.0;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Wealthy';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;131;144;;;14.0;0.04;4;159;;;;;;;;;;;;;;;;;23.70;3120.00;;;;;;;6.2;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Oliwka';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;121;134;;;14.0;0.13;4;145;;;;;;;;;;;;;;;;;30.00;3730.00;;;;;;;6.8;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Cortland';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;132;145;;;14.0;0.07;4;133;;;;;;;;;;;;;;;;;22.50;4090.00;;;;;;;6.8;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Jerseymac';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;132;147;;;16.0;0.06;4;228;;;;;;;;;;;;;;;;;25.50;2500.00;;;;;;;7.1;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Idared';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;131;144;;;14.0;0.13;4;192;;;;;;;;;;;;;;;;;23.60;3180.00;;;;;;;7.6;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Idared';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;121;125;;;5.0;0.13;4;245;;;;;;;;;;;;;;;;;29.70;2830.00;;;;;;;8.7;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Jonatan';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;132;148;;;17.0;0.06;4;235;;;;;;;;;;;;;;;;;23.70;3150.00;;;;;;;9.2;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Beforest';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;132;144;;;13.0;0.07;4;230;;;;;;;;;;;;;;;;;28.80;3300.00;;;;;;;9.5;;;;;;;;;;;;;;;;;;
