plant species;plant family;plant genus;additional information;community studied;literature source 1;link 1;literature source 2;link 2;literature source 3;link 3;reference;class;subclass;order;alliance;suballiance;community;continent/region;country;location name;decimal longitude;absolute latitude;decimal latitude;altitude [meters above sea level];year of the  data collection;mean yearly air temperature in degrees Celsius;January - mean monthly temp. [degrees Celsius];February - mean monthly temp. [degrees Celsius];March - mean monthly temp. [degrees Celsius];April - mean monthly temp. [degrees Celsius];May - mean monthly temp. [degrees Celsius];June - mean monthly temp. [degrees Celsius];July - mean monthly temp. [degrees Celsius];August - mean monthly temp. [degrees Celsius];September - mean monthly temp. [degrees Celsius];October - mean monthly temp. [degrees Celsius];November - mean monthly temp. [degrees Celsius];December - mean monthly temp. [degrees Celsius];total yearly  pecipitation in mm;January - total precipitation;February - total precipitation;March - total precipitation;April - total precipitation;May - total precipitation;June - total precipitation;July - total precipitation;August - total precipitation;September - total precipitation;October - total precipitation;November - total precipitation;December - total precipitation;flowering start;flowering end;flowering peak;flowering peak 2 (if occured);flowering lenght;total number of plants per m^2;total number of trees examined;total number of flowers per m^2;total number of inflorescenses per m^2;total number of flowers per m^2 of crown surface;total number of inflorescenses per m^2 of crown surface;total number of flowers per a single tree;total number of flowers per plant;total number of inflorescenses per a single tree;total number of inflorescenses per plant;tree age;mean number of flowering flowers per m^2 per day;peak number of flowering flowers per m^2;flower longevity [days];total nectar in µg per flower;total nectar in µL per flower;nectar in µg/flower/day ;nectar in µL/flower/day ;nectar in µg/inflorescence/day ;sugar concentration % in nectar;total sugar in µg per flower;sugar in µg/flower/day;total sugar in mg per inflorescence;sugar in µg/inflorescence/day;sugar yield in kg/ha per 1 year;sugar yield in g per tree per 1 year;sugar yield in g per 1 m^3 of the tree crown;honey yield in kg/ha per 1 year;honey yield from 1 flower in mg per 1 year;honey yield in g per 1 m^3 of the tree crown;honey yield in kg/tree per 1 year;total pollen yield per 1 year in kg/ha;total pollen yield per 1 year in kg per a single tree;total pollen yield per 1 year in number of grains per a single tree;total pollen in µg/flower;total pollen in µL/flower;total pollen per flower (the number of grains);total pollen in µg/inflorescence;total pollen in µL/inflorescence;total pollen in µg/plant/year;total pollen in number of grains per inflorescence;pollen in µg/flower/day ;pollen in µL/flower/day ;pollen in µL/inflorescence/day ;yearly pollen yield in number of grains per m^2 of the  crown;yearly pollen yield in g per 1 m^3 of the tree crown
Acer ginnala;Sapindaceae;Acer;;field experiment;Jab³oñski & Ko³towski 1996;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-c9396b79-acd4-4029-a5bb-092ffd5711a3?q=bwmeta1.element.agro-number-e0f942b2-377a-43a1-8afb-fcddb30080ef;6&qt=CHILDREN-STATELESS";;;;;Jab³oñski, B., Ko³towski, Z. 1996. Nektarowanie i wydajnoœæ miodowa roœlin miododajnych w warunkach Polski. Czêœæ IX [The nectar secretion and honey efficiency of honey plants growing under Poland's conditions. Part IX]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 40, pp. 59-65. ;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;134;147;;;14.0;0.13;;;;;;69100;;;;;;;;;;;;;31.00;531.00;;;;46.00;;;57.0;;;;;;;;;;;;;;;;;;
Acer ginnala;Sapindaceae;Acer;;field experiment;Jab³oñski & Ko³towski 1996;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-c9396b79-acd4-4029-a5bb-092ffd5711a3?q=bwmeta1.element.agro-number-e0f942b2-377a-43a1-8afb-fcddb30080ef;6&qt=CHILDREN-STATELESS";;;;;Jab³oñski, B., Ko³towski, Z. 1996. Nektarowanie i wydajnoœæ miodowa roœlin miododajnych w warunkach Polski. Czêœæ IX [The nectar secretion and honey efficiency of honey plants growing under Poland's conditions. Part IX]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 40, pp. 59-65. ;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1995;;;;;;;;;;;;;;;;;;;;;;;;;;;143;158;;;16.0;0.13;;;;;;110000;;;;;;;;;;;;;57.50;425.00;;;;58.00;;;73.0;;;;;;;;;;;;;;;;;;
Acer negundo;Sapindaceae;Acer;;urban green area;Molina et al. 1996;https://www.tandfonline.com/doi/abs/10.1080/00173139609430499;;;;;Molina, R. T., Rodriguez, A. M., Palaciso, I. S., Lopez, F. G. 1996. Pollen production in anemophilous trees. Grana. 35, pp. 38-46.;;;;;;;Europe;Spain;Badajoz;-6.97;38.88;38.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;3353;;252;;;;;;;;;;;;;;;;;;;;;;;;;;;;187650;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;modelled values;modelled;Baude et al. 2015a;https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934;Baude et al. 2015b;https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c;;;Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2011-2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;511.55;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;modelled values;modelled;Baude et al. 2016;https://www.nature.com/articles/nature16532;;;;;Baude, M., Kunin, W. E., Boatman, M. D., Conyers, S., Davies, N., Gillespie, M. A. K., Morton, R. D., Smart, S. M., Memmott, J. 2016. Historical nectar assessment reveals the fall and rise of Britain in bloom. Nature, pp. 85-88.;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;91;151;120;;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Peucedano-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Peucedano-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Peucedano-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Peucedano-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Peucedano-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
