ID,Shannon,NrSpecies,location,landscape,replicate,bbspecies,intertegular_distance,glossa,prementum,proboscis_length,proboscis_ratio,fore_wing_length,fore_wing_ratio,corbicula_length,corbicula_ratio
32_ZHUB_p,1.1572919452210646,4,ZH,urban,B,B.lapidarius,3.2,5.93,2.52,8.45,2.64,10.04,3.14,3.46,1.08
32_ZHUC_l,0.8324752223176828,7,ZH,urban,C,B.pascuorum,3.1,5.13,2.13,7.26,2.34,9.59,3.09,3.11,1
32_ZHUC_p,0.7553698181132977,3,ZH,urban,C,B.lapidarius,3.16,5.2,2.5,7.7,2.44,9.61,3.04,3.22,1.02
33_BERD_p,0,1,BE,rural,D,B.lapidarius,3.59,7.92,2.94,10.86,3.03,11.78,3.28,3.94,1.1
33_BEUA_p,0.07829590638360051,2,BE,urban,A,B.lapidarius,3.32,6.63,2.65,9.28,2.8,10.46,3.15,3.43,1.03
33_BEUB_p,2.079919520055227,12,BE,urban,B,B.lapidarius,2.89,5.71,2.25,7.96,2.75,9.11,3.15,2.93,1.01
33_BSRD_l,0.26122421059185197,2,BS,rural,D,B.pascuorum,3.58,6.07,2.52,8.59,2.4,11.62,3.25,3.92,1.09
33_BSRD_p,0.06918119723038701,2,BS,rural,D,B.lapidarius,3.43,7.13,2.73,9.86,2.87,10.36,3.02,3.61,1.05
33_BSRE_l,0,1,BS,rural,E,B.pascuorum,3.53,5.73,2.39,8.12,2.3,10.81,3.06,3.63,1.03
33_BSRE_p,0.06778546031347929,2,BS,rural,E,B.lapidarius,3.23,6.42,2.58,9,2.79,9.89,3.06,3.45,1.07
33_BSRF_l,0.4831582496302229,4,BS,rural,F,B.pascuorum,3.44,5.27,2.3,7.57,2.2,10.06,2.92,3.15,0.92
33_BSRF_p,0.37507993146859175,4,BS,rural,F,B.lapidarius,3.04,6.67,2.64,9.31,3.06,9.9,3.26,3.31,1.09
33_BSUB_l,0,1,BS,urban,B,B.pascuorum,3.55,5.58,2.44,8.02,2.26,11.05,3.11,3.64,1.03
33_BSUB_p,0.12340820547046813,2,BS,urban,B,B.lapidarius,2.84,6.28,2.48,8.76,3.08,9.57,3.37,3.13,1.1
33_ZHRD_l,0,1,ZH,rural,D,B.pascuorum,3.75,6.18,2.57,8.75,2.33,11.14,2.97,3.94,1.05
33_ZHRD_p,1.7876580569068958,8,ZH,rural,D,B.lapidarius,2.77,4.11,2.17,6.28,2.27,8.22,2.97,2.69,0.97
33_ZHRE_l,0.38054672593990546,4,ZH,rural,E,B.pascuorum,3.43,5.43,2.26,7.69,2.24,10.29,3,3.52,1.03
33_ZHRE_p,0,1,ZH,rural,E,B.lapidarius,3.47,6.88,2.55,9.43,2.72,10.46,3.01,3.79,1.09
33_ZHRF_l,0.05670013340270655,2,ZH,rural,F,B.pascuorum,3.33,5.19,2.32,7.51,2.26,10.57,3.17,3.51,1.05
33_ZHRF_p,1.278978006734465,7,ZH,rural,F,B.lapidarius,3.02,6.41,2.6,9.01,2.98,9.8,3.25,3.29,1.09
33_ZHUA_p,0,1,ZH,urban,A,B.lapidarius,2.95,4.47,2.27,6.74,2.28,9.06,3.07,2.74,0.93
33_ZHUB_l,1.045162049561129,4,ZH,urban,B,B.pascuorum,3.22,5.35,2.32,7.67,2.38,10.29,3.2,3.38,1.05
33_ZHUB_p,0,1,ZH,urban,B,B.lapidarius,3.7,6.94,2.99,9.93,2.68,12,3.24,3.76,1.02
33_ZHUC_p,1.1944636293776372,9,ZH,urban,C,B.lapidarius,3.03,5.85,2.4,8.25,2.72,9.14,3.02,3.08,1.02
34_BERD_p,0,1,BE,rural,D,B.lapidarius,3.6,7.27,2.91,10.18,2.83,11.05,3.07,3.67,1.02
34_BEUB_p,0.8196691922876966,6,BE,urban,B,B.lapidarius,2.9,5.72,2.43,8.15,2.81,9.03,3.11,2.78,0.96
34_BSRD_l,0.6295822518743049,4,BS,rural,D,B.pascuorum,3.57,5.32,2.32,7.64,2.14,10.19,2.85,3.58,1
34_BSRD_p,0,1,BS,rural,D,B.lapidarius,3.56,7.28,2.93,10.21,2.87,11.26,3.16,3.58,1.01
34_BSRE_l,0.20193780329855548,3,BS,rural,E,B.pascuorum,3.52,5.54,2.42,7.96,2.26,10.39,2.95,3.14,0.89
34_BSRE_p,0.09743741948325317,2,BS,rural,E,B.lapidarius,3.4,6.68,2.63,9.31,2.74,10.13,2.98,3.63,1.07
34_BSRF_l,0.05634580124014301,2,BS,rural,F,B.pascuorum,3.41,5.35,2.42,7.77,2.28,10.15,2.98,3.54,1.04
34_BSRF_p,0.8548739400184597,6,BS,rural,F,B.lapidarius,2.62,4.66,2.13,6.79,2.59,7.54,2.88,2.58,0.98
34_BSUB_l,0.10391037849692333,2,BS,urban,B,B.pascuorum,3.64,5.98,2.61,8.59,2.36,11.44,3.14,3.97,1.09
34_BSUB_p,0.13206103106096295,2,BS,urban,B,B.lapidarius,3.09,6.43,2.58,9.01,2.92,9.92,3.21,3.26,1.06
34_ZHRD_l,0,1,ZH,rural,D,B.pascuorum,3.41,5.31,2.29,7.6,2.23,10.21,2.99,3.44,1.01
34_ZHRD_p,1.4873596827345876,7,ZH,rural,D,B.lapidarius,3.31,6.01,2.43,8.44,2.55,9.05,2.73,3.25,0.98
34_ZHRE_p,0.07787954173904285,2,ZH,rural,E,B.lapidarius,3.18,6.49,2.59,9.08,2.86,9.97,3.14,3.47,1.09
34_ZHRF_p,0.45538379258589884,3,ZH,rural,F,B.lapidarius,3.33,6.45,2.57,9.02,2.71,10.67,3.2,3.54,1.06
34_ZHUA_p,0.07496871483327114,2,ZH,urban,A,B.lapidarius,3.77,5.15,2.7,7.85,2.08,10.77,2.86,3.62,0.96
34_ZHUB_l,0.4471122522112011,4,ZH,urban,B,B.pascuorum,3.6,6.96,2.77,9.73,2.7,10.06,2.79,3.72,1.03
34_ZHUB_p,0.42881162135444406,6,ZH,urban,B,B.lapidarius,3.83,7.18,2.8,10,2.61,11,2.87,3.56,0.93
34_ZHUC_p,1.7983879203415474,9,ZH,urban,C,B.lapidarius,3.34,7.07,2.7,9.77,2.93,10.56,3.16,3.68,1.1
35_BERD_p,0.10758783264659348,2,BE,rural,D,B.lapidarius,3.27,7.02,2.79,9.81,3,10.49,3.21,3.48,1.06
35_BEUB_p,0.08622704712728696,2,BE,urban,B,B.lapidarius,3.5,7.47,2.93,10.4,2.97,11.15,3.19,3.71,1.06
35_BSRD_l,0.35033084662649105,2,BS,rural,D,B.pascuorum,3.05,4.59,2.07,6.66,2.18,9.01,2.95,3.15,1.03
35_BSRD_p,0,1,BS,rural,D,B.lapidarius,3.87,7.49,2.89,10.38,2.68,11.73,3.03,3.99,1.03
35_BSRE_l,0.0680007694182685,2,BS,rural,E,B.pascuorum,3.63,5.44,2.51,7.95,2.19,10.62,2.93,3.84,1.06
35_BSRF_l,0.11162757158565842,2,BS,rural,F,B.pascuorum,3.31,5.38,2.35,7.73,2.34,10.01,3.02,3.48,1.05
35_BSRF_p,0.20346759033755826,2,BS,rural,F,B.lapidarius,3.27,6.4,2.55,8.95,2.74,9.88,3.02,3.4,1.04
35_BSUB_l,0.14161886903498863,2,BS,urban,B,B.pascuorum,3.21,5.35,2.29,7.64,2.38,10.19,3.17,3.28,1.02
35_BSUB_p,0.1621554964546442,3,BS,urban,B,B.lapidarius,3.58,7.47,2.88,10.35,2.89,11.29,3.15,3.7,1.03
35_ZHRD_l,0.06575220699078406,2,ZH,rural,D,B.pascuorum,3.63,5.75,2.28,8.03,2.21,11.04,3.04,3.52,0.97
35_ZHRD_p,1.3665390756200249,9,ZH,rural,D,B.lapidarius,3.41,6.41,2.54,8.95,2.62,9.98,2.93,3.29,0.96
35_ZHRE_p,0,1,ZH,rural,E,B.lapidarius,3.01,6.27,2.54,8.81,2.93,9.37,3.11,2.97,0.99
35_ZHRF_p,0.6856692707115404,2,ZH,rural,F,B.lapidarius,3.26,7.15,2.63,9.78,3,10.19,3.13,3.46,1.06
35_ZHUA_p,0.7500665936362639,3,ZH,urban,A,B.lapidarius,2.48,3.86,1.55,5.41,2.18,6.89,2.78,2.1,0.85
35_ZHUB_l,0.3315604246304498,5,ZH,urban,B,B.pascuorum,3.23,5.41,2.35,7.76,2.4,10.12,3.13,3.64,1.13
35_ZHUB_p,0.6468608376550444,4,ZH,urban,B,B.lapidarius,3.59,6.92,2.73,9.65,2.69,11.2,3.12,3.54,0.99
36_BERD_p,0.668708827042403,2,BE,rural,D,B.lapidarius,3.7,7.51,2.95,10.46,2.83,11.24,3.04,3.88,1.05
36_BEUB_p,0.16396641934630035,2,BE,urban,B,B.lapidarius,3.32,7.08,2.79,9.87,2.97,10.68,3.22,3.59,1.08
36_BSRD_l,0,1,BS,rural,D,B.pascuorum,3.25,3.71,2.39,6.1,1.88,10.08,3.1,3.48,1.07
36_BSRD_p,0,1,BS,rural,D,B.lapidarius,3.61,7.45,2.81,10.26,2.84,11.09,3.07,3.92,1.09
36_BSRE_l,0.27737233942012374,3,BS,rural,E,B.pascuorum,3.61,5.86,2.49,8.35,2.31,11.26,3.12,3.84,1.06
36_BSRF_l,0.0723086780963291,2,BS,rural,F,B.pascuorum,3.66,5.85,2.59,8.44,2.31,11.16,3.05,3.8,1.04
36_BSUB_l,0.9309526756568802,9,BS,urban,B,B.pascuorum,3.42,5.66,2.44,8.1,2.37,11.15,3.26,3.92,1.15
36_BSUB_p,0.12322998770024746,2,BS,urban,B,B.lapidarius,3.82,6.75,3.12,9.87,2.58,11.84,3.1,4.21,1.1
36_ZHRD_l,0.45368594878499846,4,ZH,rural,D,B.pascuorum,3.42,5.44,2.4,7.84,2.29,10.32,3.02,3.51,1.03
36_ZHUA_p,0.23282705988665936,3,ZH,urban,A,B.lapidarius,2.54,3.26,1.99,5.25,2.07,7.68,3.02,2.47,0.97
36_ZHUB_l,0.11550051222600921,2,ZH,urban,B,B.pascuorum,3.4,5.39,2.39,7.78,2.29,10.54,3.1,3.34,0.98
36_ZHUB_p,0.7451928258904469,3,ZH,urban,B,B.lapidarius,2.41,6.3,2.8,9.1,3.78,11.2,4.65,3.66,1.52
37_BSRD_l,0.8797631325656419,4,BS,rural,D,B.pascuorum,3.53,5.61,2.33,7.94,2.25,10.11,2.86,3.73,1.06
37_BSRD_p,0,1,BS,rural,D,B.lapidarius,3.66,5.9,2.66,8.56,2.34,10.67,2.92,3.69,1.01
37_BSRE_l,0.16406639415001295,2,BS,rural,E,B.pascuorum,3.35,5.79,2.46,8.25,2.46,10.62,3.17,3.66,1.09
37_BSRF_l,0.059970888281052986,2,BS,rural,F,B.pascuorum,3.27,5.19,2.28,7.47,2.28,9.9,3.03,3.38,1.03
37_BSUB_p,0,1,BS,urban,B,B.lapidarius,2.77,4.12,2.35,6.47,2.34,9.41,3.4,3.21,1.16
37_ZHRD_l,0.15039779169978995,3,ZH,rural,D,B.pascuorum,3.76,6.78,2.45,9.23,2.45,11.15,2.97,3.73,0.99
37_ZHUA_p,0.7163076201385217,4,ZH,urban,A,B.lapidarius,2.53,4.76,1.99,6.75,2.67,7.94,3.14,2.46,0.97
37_ZHUB_l,0.5845537324520781,3,ZH,urban,B,B.pascuorum,3.33,5.49,2.39,7.88,2.37,10.35,3.11,3.52,1.06
38_BSRD_l,0.2861952102701149,2,BS,rural,D,B.pascuorum,3.77,6.21,2.56,8.77,2.33,11.01,2.92,3.42,0.91
38_BSRE_l,0.10277297148356587,2,BS,rural,E,B.pascuorum,3.66,5.86,2.53,8.39,2.29,11.22,3.07,3.84,1.05
38_BSRF_l,0.0829093160093437,2,BS,rural,F,B.pascuorum,3.26,5.46,2.44,7.9,2.42,10.35,3.17,3.67,1.13
38_ZHUA_p,0.06950298469307058,2,ZH,urban,A,B.lapidarius,2.89,5.34,2.19,7.53,2.61,8.57,2.97,2.84,0.98
38_ZHUB_l,0.29803405431463637,3,ZH,urban,B,B.pascuorum,3.65,5.75,2.46,8.21,2.25,10.73,2.94,3.44,0.94
39_BSRE_l,0.18226656286369622,2,BS,rural,E,B.pascuorum,3.58,5.55,2.36,7.91,2.21,10.33,2.89,3.71,1.04
40_BSRE_l,0.46526025588429953,4,BS,rural,E,B.pascuorum,3.82,6.21,2.78,8.99,2.35,11.71,3.07,4.27,1.12
