ID,Shannon,NrSpecies,location,landscape,replicate,bbspecies,intertegular_distance,glossa,prementum,proboscis_length,proboscis_ratio,fore_wing_length,fore_wing_ratio,corbicula_length,corbicula_ratio
22_BEUA_p,0.24320698165259536,2,BE,urban,A,B.lapidarius,3.42,7.22,2.83,10.05,2.94,10.96,3.2,3.57,1.04
22_BEUB_l,1.638937348796254,8,BE,urban,B,B.pascuorum,3.58,5.57,2.5,8.07,2.25,10.95,3.06,3.86,1.08
22_BEUB_p,0.4227676879163861,4,BE,urban,B,B.lapidarius,2.64,5.67,2.32,7.99,3.03,8.82,3.34,2.82,1.07
22_BSRD_l,0,1,BS,rural,D,B.pascuorum,3.83,6.27,2.63,8.9,2.32,11.54,3.01,4.11,1.07
22_BSRD_p,0.9911387613296931,5,BS,rural,D,B.lapidarius,3.11,6.24,2.56,8.8,2.83,9.7,3.12,3.36,1.08
22_BSRE_l,0.14273771920695585,3,BS,rural,E,B.pascuorum,3.38,5.88,2.52,8.4,2.49,10.6,3.14,3.73,1.1
22_BSRE_p,0.08245547436987741,2,BS,rural,E,B.lapidarius,3.33,6.6,2.69,9.29,2.79,9.8,2.94,3.44,1.03
22_BSRF_l,0.09650818144451424,2,BS,rural,F,B.pascuorum,3.01,4.65,2.15,6.8,2.26,9.28,3.08,3.37,1.12
22_BSRF_p,0.6669459403519075,5,BS,rural,F,B.lapidarius,3.25,6.74,2.77,9.51,2.93,10.38,3.19,3.51,1.08
22_BSUA_l,0.9432044122751713,5,BS,urban,A,B.pascuorum,3.42,5.93,2.55,8.48,2.48,11.09,3.24,3.59,1.05
22_BSUA_p,1.9215311249172669,12,BS,urban,A,B.lapidarius,2.32,4.57,1.98,6.55,2.82,7.57,3.26,2.52,1.09
22_BSUB_l,1.650917599366773,7,BS,urban,B,B.pascuorum,3.51,5.61,2.55,8.16,2.32,10.85,3.09,3.69,1.05
22_BSUB_p,1.4953792104681314,6,BS,urban,B,B.lapidarius,2.91,4.68,2.44,7.12,2.45,9.3,3.2,3.26,1.12
22_BSUC_l,0.5179112221720678,5,BS,urban,C,B.pascuorum,3.42,5.5,2.48,7.98,2.33,10.68,3.12,3.66,1.07
22_BSUC_p,1.1546788902561733,8,BS,urban,C,B.lapidarius,3.12,6.54,2.47,9.01,2.89,10.06,3.22,3.53,1.13
22_ZHRD_l,1.6862112312858601,10,ZH,rural,D,B.pascuorum,3.26,3.81,2.31,6.12,1.88,10.36,3.18,3.58,1.1
22_ZHRD_p,1.1281923069703275,5,ZH,rural,D,B.lapidarius,2.53,3.37,2.17,5.54,2.19,7.94,3.14,2.62,1.04
22_ZHRE_l,1.088677646361391,6,ZH,rural,E,B.pascuorum,3.43,5.69,2.49,8.18,2.38,10.3,3,3.66,1.07
22_ZHRE_p,1.5109482941669359,8,ZH,rural,E,B.lapidarius,3.67,7.25,2.85,10.1,2.75,10.95,2.98,3.84,1.05
22_ZHRF_l,0.24953907913616724,3,ZH,rural,F,B.pascuorum,3.48,5.92,2.57,8.49,2.44,11.07,3.18,3.77,1.08
22_ZHRF_p,0.3648921940225111,4,ZH,rural,F,B.lapidarius,3.46,6.7,2.74,9.44,2.73,10.09,2.92,3.59,1.04
22_ZHUA_l,1.3599460238213572,8,ZH,urban,A,B.pascuorum,4.49,5.35,2.41,7.76,1.73,10.21,2.27,3.42,0.76
22_ZHUA_p,0,1,ZH,urban,A,B.lapidarius,3.35,7.3,2.77,10.07,3.01,10.83,3.23,3.58,1.07
22_ZHUB_l,0.8085072677806283,4,ZH,urban,B,B.pascuorum,3.11,5.38,2.32,7.7,2.48,10.08,3.24,3.5,1.13
