"","ID","Shannon","NrSpecies","location","landscape","replicate","bbspecies","bborgan","site"
"847","20_ZHUA_lB",1.5191914753676,7,"ZH","U","A","B.pascuorum","B","ZH_U"
"848","20_ZHUA_pB",0.338472627961655,3,"ZH","U","A","B.lapidarius","B","ZH_U"
"849","20_ZHUA_pL",0.789966790417655,4,"ZH","U","A","B.lapidarius","L","ZH_U"
"850","20_ZHUB_lB",1.16040156556841,4,"ZH","U","B","B.pascuorum","B","ZH_U"
"851","20_ZHUB_pB",1.00732116524429,4,"ZH","U","B","B.lapidarius","B","ZH_U"
"852","20_ZHUC_lB",1.43345169560546,8,"ZH","U","C","B.pascuorum","B","ZH_U"
"853","20_ZHUC_lL",0.24844304886062,4,"ZH","U","C","B.pascuorum","L","ZH_U"
"854","20_ZHUC_pB",0.628973225001016,5,"ZH","U","C","B.lapidarius","B","ZH_U"
"855","21_BERD_pB",0.183612270374563,2,"BE","R","D","B.lapidarius","B","BE_R"
"856","21_BEUA_pB",0.209013986325923,2,"BE","U","A","B.lapidarius","B","BE_U"
"857","21_BEUA_pL",0,1,"BE","U","A","B.lapidarius","L","BE_U"
"858","21_BEUB_lB",1.47025237769551,7,"BE","U","B","B.pascuorum","B","BE_U"
"859","21_BEUB_pB",0.384505658040093,4,"BE","U","B","B.lapidarius","B","BE_U"
"860","21_BEUB_pL",0.406777222176019,4,"BE","U","B","B.lapidarius","L","BE_U"
"861","21_BSRD_lB",0.260177013523365,2,"BS","R","D","B.pascuorum","B","BS_R"
"862","21_BSRD_lL",0.63170756798196,3,"BS","R","D","B.pascuorum","L","BS_R"
"863","21_BSRD_pB",0,1,"BS","R","D","B.lapidarius","B","BS_R"
"864","21_BSRD_pL",0,1,"BS","R","D","B.lapidarius","L","BS_R"
"865","21_BSRE_lB",0.0577803529238846,2,"BS","R","E","B.pascuorum","B","BS_R"
"866","21_BSRE_pB",0.1276806847087,2,"BS","R","E","B.lapidarius","B","BS_R"
"867","21_BSRE_pL",0.121115050165849,2,"BS","R","E","B.lapidarius","L","BS_R"
"868","21_BSRF_lB",0.0906051329400334,2,"BS","R","F","B.pascuorum","B","BS_R"
"869","21_BSRF_pB",0.308547488638656,3,"BS","R","F","B.lapidarius","B","BS_R"
"870","21_BSUA_lB",0.66969746818428,5,"BS","U","A","B.pascuorum","B","BS_U"
"871","21_BSUA_pB",1.40521434672321,8,"BS","U","A","B.lapidarius","B","BS_U"
"872","21_BSUA_pL",0.938431744813129,4,"BS","U","A","B.lapidarius","L","BS_U"
"873","21_BSUB_lB",0.0956291457543333,2,"BS","U","B","B.pascuorum","B","BS_U"
"874","21_BSUB_lL",0.202712504608221,3,"BS","U","B","B.pascuorum","L","BS_U"
"875","21_BSUB_pB",1.59381390638984,9,"BS","U","B","B.lapidarius","B","BS_U"
"876","21_BSUC_lB",1.98053079707117,12,"BS","U","C","B.pascuorum","B","BS_U"
"877","21_BSUC_pB",1.77813511044156,9,"BS","U","C","B.lapidarius","B","BS_U"
"878","21_ZHRD_lB",0.829970127755126,6,"ZH","R","D","B.pascuorum","B","ZH_R"
"879","21_ZHRD_pB",0.623338736200878,4,"ZH","R","D","B.lapidarius","B","ZH_R"
"880","21_ZHRE_lB",1.5420946773425,8,"ZH","R","E","B.pascuorum","B","ZH_R"
"881","21_ZHRE_pB",0.909512626508202,4,"ZH","R","E","B.lapidarius","B","ZH_R"
"882","21_ZHRE_pL",0.561437442649857,3,"ZH","R","E","B.lapidarius","L","ZH_R"
"883","21_ZHRF_lB",1.00333079032014,4,"ZH","R","F","B.pascuorum","B","ZH_R"
"884","21_ZHRF_pB",0.0591590615849067,2,"ZH","R","F","B.lapidarius","B","ZH_R"
"885","21_ZHUA_lB",1.30156723248903,7,"ZH","U","A","B.pascuorum","B","ZH_U"
"886","21_ZHUA_pB",0.359286451153268,4,"ZH","U","A","B.lapidarius","B","ZH_U"
"887","21_ZHUB_lB",0.988646979794507,8,"ZH","U","B","B.pascuorum","B","ZH_U"
"888","21_ZHUB_lL",0.245259393508674,2,"ZH","U","B","B.pascuorum","L","ZH_U"
"889","21_ZHUB_pB",0.440043444339751,2,"ZH","U","B","B.lapidarius","B","ZH_U"
"890","21_ZHUB_pL",0,1,"ZH","U","B","B.lapidarius","L","ZH_U"
"891","21_ZHUC_lB",0.466373610484823,2,"ZH","U","C","B.pascuorum","B","ZH_U"
"892","21_ZHUC_lL",0.170963370571349,2,"ZH","U","C","B.pascuorum","L","ZH_U"
"893","21_ZHUC_pB",0.253324058955803,3,"ZH","U","C","B.lapidarius","B","ZH_U"
"894","21_ZHUC_pL",0,1,"ZH","U","C","B.lapidarius","L","ZH_U"
"895","22_BERD_pB",0.509513564652123,4,"BE","R","D","B.lapidarius","B","BE_R"
"896","22_BERD_pL",0.988513698648449,5,"BE","R","D","B.lapidarius","L","BE_R"
"897","22_BEUA_pB",0.243206981652595,2,"BE","U","A","B.lapidarius","B","BE_U"
"898","22_BEUB_lB",1.63893734879625,8,"BE","U","B","B.pascuorum","B","BE_U"
"899","22_BEUB_pB",0.422767687916386,4,"BE","U","B","B.lapidarius","B","BE_U"
"900","22_BSRD_lB",0,1,"BS","R","D","B.pascuorum","B","BS_R"
"901","22_BSRD_pB",0.991138761329693,5,"BS","R","D","B.lapidarius","B","BS_R"
"902","22_BSRD_pL",0.156697393401974,2,"BS","R","D","B.lapidarius","L","BS_R"
"903","22_BSRE_lB",0.142737719206956,3,"BS","R","E","B.pascuorum","B","BS_R"
"904","22_BSRE_pB",0.0824554743698774,2,"BS","R","E","B.lapidarius","B","BS_R"
"905","22_BSRE_pL",0,1,"BS","R","E","B.lapidarius","L","BS_R"
"906","22_BSRF_lB",0.0965081814445142,2,"BS","R","F","B.pascuorum","B","BS_R"
