Taxon_Id,Species,occ,Years (min),Years (max)
1047420,Trifolium campestre Schreb.,22,1899,2021
1047430,Trifolium dubium Sibth.,27,1982,2022
1047440,Trifolium fragiferum L.,6,1899,2020
1047460,Trifolium hybridum L.,9,1982,2019
1047470,Trifolium hybridum L. subsp. hybridum,4,1982,2014
1047490,Trifolium incarnatum L.,2,1957,2020
1047500,Trifolium incarnatum L. subsp. incarnatum,1,1957,1957
1047520,Trifolium medium L.,14,1952,2022
1047540,Trifolium montanum L.,2,1899,1966
1047590,Trifolium patens Schreb.,2,2012,2012
1047600,Trifolium pratense L.,114,1936,2022
1047610,Trifolium pratense L. subsp. pratense,30,1952,2020
1047630,Trifolium repens L.,92,1899,2022
1047640,Trifolium repens L. subsp. repens,12,2013,2020
1047660,Trifolium resupinatum L.,5,1982,2016
1047750,Trifolium subterraneum L.,1,2016,2016
1047770,Triglochin palustris L.,2,1899,1982
1047840,Tripleurospermum inodorum (L.) Sch. Bip.,13,1982,2022
1047890,Trisetum flavescens (L.) P. Beauv.,47,1899,2022
1047930,Triticum aestivum L.,17,2009,2022
1047990,Triticum spelta L.,2,1899,2013
1048030,Trollius europaeus L.,1,1952,1952
1048100,Tulipa gesneriana L.,1,2016,2016
1048170,Tulipa sylvestris L.,5,1895,2022
1048180,Tulipa sylvestris L. subsp. sylvestris,3,1895,2015
1048210,Turritis glabra L.,1,1909,1966
1048220,Tussilago farfara L.,42,1952,2022
1048230,Typha angustifolia L.,2,1768,2013
1048250,Typha latifolia L.,86,1982,2022
1048270,Typha minima Hoppe,8,1853,2020
1048280,Typha shuttleworthii W. D. J. Koch & Sond.,9,1849,2002
1048310,Ulmus glabra Huds.,65,1899,2022
1048320,Ulmus laevis Pall.,23,1855,2022
1048330,Ulmus minor Mill.,10,1987,2022
1048360,Urtica dioica L.,85,1952,2022
1048370,Urtica urens L.,15,1850,2020
1048380,Utricularia australis R. Br.,3,1982,2020
1048400,Utricularia intermedia Hayne,1,1911,1966
1048395,Utricularia intermedia aggr.,1,1911,1966
1048410,Utricularia minor L.,1,1911,1966
1048405,Utricularia minor aggr.,1,1911,1966
1048450,Utricularia vulgaris L.,4,1868,1994
1048440,Utricularia vulgaris aggr.,16,1868,2020
1048500,Vaccinium myrtillus L.,8,1982,2019
1048580,Valeriana dioica L.,30,1899,2022
1048610,Valeriana officinalis L.,18,1903,2021
1048600,Valeriana officinalis aggr.,43,1903,2021
1048640,Valeriana repens Host,6,2013,2016
1048730,Valerianella carinata Loisel.,26,1899,2020
1048750,Valerianella dentata (L.) Pollich,5,1899,2022
1048780,Valerianella locusta (L.) Laterr.,31,1898,2022
1048775,Valerianella locusta aggr.,60,1898,2022
1048880,Verbascum blattaria L.,3,1991,2013
1048930,Verbascum densiflorum Bertol.,30,1899,2020
1048940,Verbascum lychnitis L.,12,1899,2022
1048950,Verbascum nigrum L.,19,2013,2022
1048960,Verbascum phlomoides L.,1,1966,2019
1049020,Verbascum thapsus L.,27,1899,2022
1049030,Verbascum thapsus L. subsp. thapsus,12,1962,2020
1049040,Verbascum thapsus subsp. montanum (Schrad.) Bonnier & Layens,1,2022,2022
1049060,Verbena bonariensis L.,6,2013,2020
1049070,Verbena officinalis L.,36,1952,2022
1049100,Veronica agrestis L.,21,1899,2020
1049130,Veronica anagallis-aquatica L.,20,1982,2016
1049125,Veronica anagallis-aquatica aggr.,20,1982,2016
1049160,Veronica arvensis L.,31,1881,2021
1049180,Veronica beccabunga L.,35,1952,2021
1049210,Veronica chamaedrys L.,60,1952,2022
1049260,Veronica filiformis Sm.,54,1893,2022
1049280,Veronica fruticulosa L.,1,1890,1890
1049290,Veronica hederifolia L.,56,1879,2022
1049300,Veronica hederifolia L. subsp. hederifolia,12,2013,2020
1049310,Veronica hederifolia subsp. lucorum (Klett & Richt.) Hartl,7,2013,2021
1049330,Veronica montana L.,7,1960,2022
1049340,Veronica officinalis L.,18,1982,2022
1049370,Veronica peregrina L.,32,1892,2021
1049380,Veronica persica Poir.,59,1899,2021
1049390,Veronica polita Fr.,3,1899,2013
1049450,Veronica scutellata L.,5,1897,2013
1049460,Veronica serpyllifolia L.,31,1982,2021
1049470,Veronica serpyllifolia L. subsp. serpyllifolia,19,1982,2020
1049520,Veronica urticifolia Jacq.,11,1899,2019
1049540,Viburnum lantana L.,75,1952,2022
1049550,Viburnum opulus L.,82,1952,2022
1049570,Viburnum rhytidophyllum Hemsl.,26,2012,2020
1049620,Vicia cracca L.,73,1899,2022
1049630,Vicia cracca L. subsp. cracca,15,1899,2020
1049670,Vicia dumetorum L.,9,1982,2019
1049710,Vicia hirsuta (L.) Gray,20,1982,2020
