"","sp_richn","fdis","fmpd","fori","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4"
"16_BSUA_l",2,0.180680044021919,0.273458017567206,0.000396511037127502,0.357090696796825,-0.138820381485734,0.0816651697527612,-0.0280021237024586,-0.00473249090603045
"16_BSUB_l",6,0.2250176980733,0.263153635355072,0.0382736220434308,0.311258982080804,-0.116338757804492,0.0524775088599729,-0.0252909303156559,0.003719222367074
"16_BSUC_l",5,0.299977000418446,0.32352729097001,0.0614801070075379,0.288928816381638,-0.0810921278418721,0.0678352966136832,-0.0119651933051131,4.42709127580496e-05
"16_ZHRD_l",4,0.293527582581774,0.361344010606869,0.0736148853671948,0.331854683212165,-0.100443031995234,0.0152489142534225,-0.0238679405139115,-0.00403610441561598
"16_ZHRE_l",8,0.381292937782135,0.426365824764764,0.11186388895612,0.336374398269479,-0.0575091859262877,0.0310289417554681,-0.0332933149021804,0.0150014575055394
"16_ZHRF_l",5,0.293331737073009,0.344420864071322,0.0569989956092743,0.357982296423407,-0.113488282364888,0.0391372846179268,-0.0239147878371204,-0.00163027704981827
"16_ZHUA_l",6,0.450476215866394,0.502087316823086,0.237297480148385,0.413439837209958,-0.0420044686132519,0.085443908096783,-0.0371973718796118,0.0336032520566827
"16_ZHUB_l",7,0.376595389451463,0.418092536978427,0.179199982269176,0.375418602342155,-0.0599900693705273,0.0883217060485001,-0.0303415441259699,0.0196707442076983
"16_ZHUC_l",2,0.0353134154648163,0.0534466140896239,0.00423847181074263,0.440892521045022,-0.162378583300827,0.128747685203478,-0.0250543561064932,0.0105870709741465
"17_BEUB_l",9,0.359216117733521,0.39173622639453,0.118937337814462,0.312918526824494,-0.052369031444789,0.0442506161923863,-0.00414034160850207,-0.0202542551841467
"17_BEUC_l",6,0.308834070177657,0.344849283139146,0.0551495195341959,0.325129924379815,-0.0746461961691741,0.0775772474663007,-0.0174766772872153,0.0067284021541153
"17_BSRD_l",3,0.111469100408481,0.143918930450984,0.0727467016805753,0.408800048912717,-0.15829556649123,0.0996252871175448,-0.0275529210117541,0.0195867620438658
"17_BSRE_l",3,0.362933490980697,0.46812192940199,0.0922651169835921,0.351952132121762,-0.0896226837602404,0.0320342267213821,-0.0150033438618678,-0.00564813971582089
"17_BSRF_l",3,0.111469100408481,0.143918930450984,0.0727467016805753,0.408800048912717,-0.15829556649123,0.0996252871175448,-0.0275529210117541,0.0195867620438658
"17_BSUA_l",6,0.339333088974086,0.36237091652672,0.053590090779676,0.269632497993044,-0.062208330163514,0.033988456033772,-0.00840287595420393,-0.0027881324900791
"17_BSUB_l",9,0.378515169445038,0.416332302074052,0.140419512318147,0.314237644836595,-0.0435615594401213,0.0621341612716453,-0.0240352239200062,0.0112392518104215
"17_BSUC_l",8,0.293165038345383,0.309838800395758,0.036797871843937,0.239365139011172,-0.0524945340966158,0.0415145440624559,-0.013856586388641,-0.00751274640155519
"17_ZHRD_l",3,0.345471798449713,0.436483631308745,0.0949058871734917,0.337025509261473,-0.0865116825733942,0.0240905597436718,-0.0163620578677308,-0.00442278435403239
"17_ZHRE_l",5,0.279121648781711,0.340763903708566,0.0561806877765936,0.342036049130397,-0.11204847502608,0.007170283981233,-0.0255562879685517,-0.00237968056870591
"17_ZHRF_l",7,0.44076616909359,0.500022164648186,0.200459082477358,0.372429089291395,-0.0438262333305522,0.0628244515259524,-0.0302970680061002,0.0121792875942128
