"","sp_richn","fdis","fmpd","fori","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4"
"22_BEUA_p",2,0.184274366197536,0.235746802692002,0.00340370440452256,0.303905719001178,-0.127962331983583,0.069774859464348,-0.00431087877074557,0.00174452914046342
"22_BEUB_p",4,0.30264739598208,0.311216244944432,0.0199594103997812,0.300501342792724,-0.0913989679483236,0.059060371595398,-0.00324278665116125,-0.00565111403935434
"22_BSRD_p",4,0.179839774031245,0.19595456167553,0.000987703392434443,0.315616551489772,-0.137433589582614,0.0240367323750632,-0.0272457200472277,-0.0106025068487829
"22_BSRE_p",2,0.153630107267541,0.196542836276684,0.000899122131946477,0.345138454862058,-0.144584277985764,0.0763659690273711,-0.0222236883957334,-0.00329465343254617
"22_BSRF_p",5,0.220666224940706,0.209810005215323,0.0137483492725364,0.329444100632408,-0.139767804107884,0.0382883372629864,-0.018366817880538,-0.000609876773297362
"22_BSUA_p",12,0.492082360058256,0.445368161500976,0.0800833985678021,0.333378862524245,-0.00578221956335423,0.043348454659509,-0.0035615530175661,0.0104196594009655
"22_BSUB_p",9,0.469050787423253,0.43144639328566,0.0796072862437554,0.321338204746009,-0.0109774680374245,0.061126035003504,-0.0250030477072434,0.0059084320401785
"22_BSUC_p",8,0.358315976699917,0.317067880893021,0.0099690848479576,0.245796355849104,-0.0415125354973412,0.0152597765357763,0.015885658986123,0.00650661016734213
"22_ZHRD_p",6,0.354779131492662,0.325253678870901,0.00940980208465332,0.236873806939366,-0.0419414012609646,0.0221480849603738,0.0069984895874482,0.000250290511382704
"22_ZHRE_p",8,0.416917470431659,0.391455997024482,0.0499164082693863,0.281332211409887,0.00812696859483447,0.0235049043810869,0.000527262018031255,0.00411597687946185
"22_ZHRF_p",3,0.0443039768294813,0.0425470462132863,0.0118846303556434,0.390314760315074,-0.155401747712544,0.111996435537903,-0.00874583575716609,-0.00517251613810916
"22_ZHUA_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"22_ZHUB_p",10,0.454398378610451,0.424314145962642,0.102607268676712,0.32761331123819,-0.0418361483654147,0.0545099884086585,0.00886612194791683,-0.0198433533033674
"22_ZHUC_p",5,0.257605886934521,0.263797031298993,0.0237305202652251,0.268032476878681,-0.0928690086973893,0.052098085909358,-0.00812503613898718,-0.00318825627190546
"23_BERD_p",2,0.153630107267541,0.196542836276684,0.000899122131946477,0.345138454862058,-0.144584277985764,0.0763659690273711,-0.0222236883957334,-0.00329465343254617
"23_BEUA_p",3,0.162039534299935,0.177934674476788,0.00280953534172042,0.297749219699673,-0.129086077543716,0.0569043711328721,-0.0158227019453259,-0.000318376052362458
"23_BEUB_p",8,0.377725302580326,0.340260336039321,0.0419847637092805,0.33348113159785,-0.0838754452171328,0.059479918745142,-0.00713646771988164,0.00242213544721381
